Date,Media,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
Sat Jan 13 16:42:26 +0000 2018,@bbcworld,ICYMI: Ex-crime boss caught out by ink https://t.co/bCwDdrO9qq,0.0,0.0,0.0,1.0,20
Mon Jan 08 00:56:59 +0000 2018,@bbcworld,Tattooist of Auschwitz https://t.co/uycegYsPx8,0.0,0.0,0.0,1.0,21
Mon Jan 08 00:49:20 +0000 2018,@bbcworld,"Bigly, covfefe, sad! https://t.co/QJ8MnsPhvM",-0.5255,0.0,0.531,0.469,22
Mon Jan 08 00:45:50 +0000 2018,@bbcworld,Child bride to wrestling star https://t.co/pJvS8sMkH6,0.0,0.0,0.0,1.0,23
Mon Jan 08 00:45:50 +0000 2018,@bbcworld,Dubai to build new record-breaking skyscraper https://t.co/1bihFI529P,0.0,0.0,0.0,1.0,24
Mon Jan 08 00:34:44 +0000 2018,@bbcworld,"A blackout on the Red Carpet for the 75th #GoldenGlobes:
Celebrities are dressed from head to toe in black to in su… https://t.co/ZRIkBTmMB8",0.0,0.0,0.0,1.0,25
Sun Jan 07 23:48:35 +0000 2018,@bbcworld,Syria war: Explosion reportedly kills at least 23 in rebel-held Idlib https://t.co/tmLUnASoyN,-0.8126,0.0,0.425,0.575,26
Sun Jan 07 23:28:26 +0000 2018,@bbcworld,Brazil drug lord accused of deadly jail riot seized https://t.co/XAbbeaCCvo,-0.7003,0.0,0.42,0.58,27
Sun Jan 07 19:02:10 +0000 2018,@bbcworld,Israel dig unearths prehistoric 'paradise' https://t.co/AnliOKszrK,0.0,0.0,0.0,1.0,28
Sun Jan 07 18:24:10 +0000 2018,@bbcworld,Ireland hosts festive tree throwing battle https://t.co/7upSKkFntg,0.1027,0.283,0.245,0.472,29
Sun Jan 07 17:28:47 +0000 2018,@bbcworld,Fire and Fury: Trump allies dismiss 'fantasy book' https://t.co/nQK19Golof,-0.7269,0.0,0.466,0.534,30
Sun Jan 07 17:24:52 +0000 2018,@bbcworld,Egypt's ex-PM backs out of Sisi challenge https://t.co/p7HUNkeugg,0.0258,0.153,0.141,0.706,31
Sun Jan 07 17:22:12 +0000 2018,@bbcworld,"""The smoke is so thick... it's blocking out the sun"" - South Australia fire tears through farm land… https://t.co/dbVe4f9hPr",-0.7322,0.0,0.323,0.677,32
Sun Jan 07 16:27:02 +0000 2018,@bbcworld,RT @BBC_HaveYourSay: Iranian unrest is unleashed on a new battleground https://t.co/asrfWWIyMd,-0.4019,0.0,0.231,0.769,33
Sun Jan 07 15:49:42 +0000 2018,@bbcworld,Boris Becker responds to 'clearly racist' AfD tweet https://t.co/4fznvJB4Rs,-0.3182,0.197,0.292,0.511,34
Sun Jan 07 14:31:33 +0000 2018,@bbcworld,Stockholm station blast: Man dies in 'hand grenade' explosion https://t.co/SOey7jyCea,0.4939,0.262,0.0,0.738,35
Sun Jan 07 14:07:11 +0000 2018,@bbcworld,Snowing or glowing? https://t.co/em8Ks1aGPZ,0.0,0.0,0.0,1.0,36
Sun Jan 07 13:41:09 +0000 2018,@bbcworld,A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,0.5859,0.487,0.0,0.513,37
Sun Jan 07 13:22:38 +0000 2018,@bbcworld,"France Gall was ""a timeless icon of French song"", said Culture Minister Françoise Nyssen 

https://t.co/K6KF7MENGv https://t.co/RgjBp9otcH",0.0,0.0,0.0,1.0,38
Sun Jan 07 13:14:18 +0000 2018,@bbcworld,"France Gall, French popstar who shot to fame in 1960s, dies https://t.co/K6KF7MENGv",0.4404,0.209,0.0,0.791,39
Sun Jan 07 12:05:16 +0000 2018,@bbcworld,Myanmar Rohingya militants Arsa vow to fight on after attack https://t.co/YRLUPuWRee,-0.6908,0.0,0.388,0.612,40
Sat Dec 30 00:52:55 +0000 2017,@bbcworld,Shooting star https://t.co/yBuUK1HK6y,0.0,0.0,0.0,1.0,41
Sat Dec 30 00:49:06 +0000 2017,@bbcworld,The litter-shaming photographer cleaning up her country https://t.co/e9V4715OiX,0.0,0.0,0.0,1.0,42
Sat Dec 30 00:38:44 +0000 2017,@bbcworld,The height of battle https://t.co/1GWCeFcjyu,-0.3818,0.0,0.394,0.606,43
Sat Dec 30 00:35:12 +0000 2017,@bbcworld,Busy year for storms https://t.co/2rFNeEBfvO,0.0,0.0,0.0,1.0,44
Sat Dec 30 00:35:12 +0000 2017,@bbcworld,The people who play the piano at St Pancras https://t.co/F6wQeKqaYI,0.34,0.211,0.0,0.789,45
Sat Dec 30 00:24:41 +0000 2017,@bbcworld,Ooh la la! 19th Century brothel's return https://t.co/QFS6LvZ3de,0.0,0.0,0.0,1.0,46
Sat Dec 30 00:04:08 +0000 2017,@bbcworld,Peru writers condemn ex-president Alberto Fujimori's pardon https://t.co/hIdAx1urgG,-0.0772,0.211,0.239,0.55,47
Fri Dec 29 23:43:38 +0000 2017,@bbcworld,Cardboard tents distributed to Brussels homeless https://t.co/Mbw4tQORuX,0.0,0.0,0.0,1.0,48
